"No.","Time","Source","Destination","Protocol","Length","Info"
"35735","156.505771","192.168.3.153","192.168.3.255","NBNS","92","Name query NB YAHOO.COM<00>"
"35737","156.521977","10.10.11.145","224.0.0.252","LLMNR","74","Standard query 0xdaa4  ANY SOFTWARELAB-PC"
"35738","156.526987","192.168.3.24","192.168.3.255","NBNS","92","Name query NB BING.COM<00>"
"35741","156.612143","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x94c4  AAAA wpad"
"35742","156.612176","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x94c4  AAAA wpad"
"35743","156.612354","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","84","Standard query 0x40f5  A wpad"
"35744","156.612404","192.168.3.221","224.0.0.252","LLMNR","64","Standard query 0x40f5  A wpad"
"35747","156.647185","192.168.9.73","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"35749","156.662109","fe80::4182:c84e:bb0d:b7d7","ff02::1:2","DHCPv6","152","Solicit XID: 0x4f98ab CID: 000100011db936f4d43d7e1a6de1 "
"35750","156.666052","10.10.14.190","10.10.15.255","NBNS","92","Name query NB DSP16<1c>"
"35752","156.687550","192.168.16.144","192.168.16.255","NBNS","92","Name query NB WPAD<00>"
"35753","156.702087","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"35755","156.775574","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<00>"
"35759","156.790558","fe80::9de0:89cb:6141:1c52","ff02::1:3","LLMNR","86","Standard query 0x190b  ANY ard-PC"
"35760","156.791029","10.10.10.240","224.0.0.252","LLMNR","66","Standard query 0x190b  ANY ard-PC"
"35763","156.810801","192.168.17.85","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"35765","156.833087","192.168.3.243","192.168.31.255","NBNS","92","Name query NB QIBRASOB.RU<00>"
"35767","156.849185","192.168.14.56","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"35776","156.891747","fe80::9de0:89cb:6141:1c52","ff02::1:3","LLMNR","86","Standard query 0x190b  ANY ard-PC"
"35777","156.891785","10.10.10.240","224.0.0.252","LLMNR","66","Standard query 0x190b  ANY ard-PC"
"35786","156.947414","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"35791","157.054816","10.10.10.240","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"35795","157.061355","192.168.16.157","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"35796","157.061519","192.168.9.131","192.168.31.255","NBNS","92","Name query NB WPAD<00>"
"35798","157.069234","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0xe212  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"35799","157.069264","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0xe212  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"35807","157.094361","fe80::9de0:89cb:6141:1c52","ff02::1:3","LLMNR","86","Standard query 0x6d74  ANY ard-PC"
"35808","157.094587","10.10.10.240","224.0.0.252","LLMNR","66","Standard query 0x6d74  ANY ard-PC"
"35815","157.129735","192.168.7.234","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"35820","157.171743","192.168.20.10","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"35821","157.194463","fe80::9de0:89cb:6141:1c52","ff02::1:3","LLMNR","86","Standard query 0x6d74  ANY ard-PC"
"35822","157.194493","10.10.10.240","224.0.0.252","LLMNR","66","Standard query 0x6d74  ANY ard-PC"
"35823","157.209417","192.168.7.28","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"35829","157.249374","192.168.14.62","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"35830","157.255150","192.168.3.153","192.168.3.255","NBNS","92","Name query NB YAHOO.COM<00>"
"35833","157.282038","192.168.20.10","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"35834","157.291369","192.168.3.24","192.168.3.255","NBNS","92","Name query NB BING.COM<00>"
"35837","157.327931","192.168.20.140","255.255.255.255","ADwin Config","142","UDPMessage"
"35838","157.379366","10.10.12.204","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"35841","157.411691","10.10.14.190","10.10.15.255","NBNS","92","Name query NB DSP16<1c>"
"35842","157.419367","192.168.5.221","224.0.0.251","MDNS","194","Standard query 0x0000  ANY c.5.6.5.0.9.e.f.f.f.2.1.c.b.a.f.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY linux-17.local, ""QM"" question"
"35843","157.419400","192.168.4.41","224.0.0.251","MDNS","137","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe29:e93 HINFO, cache flush X86_64 LINUX A, cache flush 192.168.4.41"
"35844","157.419415","10.10.15.243","224.0.0.251","MDNS","137","Standard query response 0x0000  AAAA, cache flush fe80::7a45:c4ff:fe27:8853 HINFO, cache flush X86_64 LINUX A, cache flush 10.10.15.243"
"35845","157.419425","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"35848","157.466521","192.168.15.171","192.168.31.255","NBNS","92","Name query NB G.CEIPMSN.COM<00>"
"35849","157.479486","fe80::5058:2741:6f11:4e6f","ff02::1:3","LLMNR","152","Standard query 0xe212  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"35850","157.479517","192.168.3.221","224.0.0.252","LLMNR","132","Standard query 0xe212  PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"35851","157.479530","fe80::1cb3:2fce:9b94:3ba0","ff02::1:2","DHCPv6","124","Solicit XID: 0x1d3b96 CID: 0004b2c9a16b0301bb8ac2d83c148fee2f2a "
"35853","157.523699","192.168.3.208","192.168.31.255","NBNS","92","Name query NB ROBO21<00>"
"35854","157.540847","192.168.3.95","192.168.31.255","BROWSER","255","Local Master Announcement CNETC4, Workstation, Server, SQL Server, Print Queue Server, NT Workstation, Potential Browser, Master Browser"
"35858","157.577003","10.10.15.243","224.0.0.251","MDNS","118","Standard query 0x0000  ANY linux-17.local, ""QM"" question"
"35859","157.577738","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"35861","157.584827","192.168.3.243","192.168.31.255","NBNS","92","Name query NB QIBRASOB.RU<00>"
"35863","157.599153","192.168.14.56","192.168.31.255","NBNS","92","Name query NB WIN-JJVQTFUFFR8<00>"
"35867","157.614509","192.168.3.210","192.168.31.255","NBNS","92","Name query NB GVAQ70S7HE.RU<00>"
"35874","157.709425","192.168.3.221","192.168.3.255","NBNS","92","Name query NB WPAD<00>"
"35889","157.827629","10.10.15.243","224.0.0.251","MDNS","118","Standard query 0x0000  ANY linux-17.local, ""QM"" question"
"35890","157.828364","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"35892","157.835164","10.10.13.46","239.255.255.250","SSDP","216","M-SEARCH * HTTP/1.1 "
"35894","157.859172","192.168.9.131","192.168.31.255","NBNS","92","Name query NB ISATAP<00>"
"35896","157.872352","10.10.11.96","224.0.0.251","MDNS","103","Standard query 0x0002  PTR _805741C9._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"35897","157.873131","192.168.7.148","224.0.0.251","MDNS","60","Standard query response 0x0000 "
"35899","157.900240","fe80::383f:1ffd:91f7:8c6c","ff02::1:3","LLMNR","95","Standard query 0xba36  AAAA WIN-JJVQTFUFFR8"
